company,role,url,cv_file,status,date_sent,notes
example,fullstack-developer,https://example.com/job,outputs/cv_example_fullstack-developer.pdf,draft,,,
rayzone-group,junior-full-stack-developer,,outputs/rayzone-group/cv_rayzone-group_junior-full-stack-developer.pdf,draft,2026-06-01,
wedev-technologies,junior-fullstack-developer,,outputs/wedev-technologies/cv-pdf/cv_wedev-technologies_junior-fullstack-developer.pdf,draft,2026-06-01,
unit,internal-tools-engineer,,outputs/unit/cv-pdf/cv_unit_internal-tools-engineer.pdf,draft,2026-06-01,
sela,full-stack-engineer,,outputs/sela/cv-pdf/cv_sela_full-stack-engineer.pdf,draft,2026-06-01,
kpmg,genai-backend-engineer,,outputs/kpmg/cv-pdf/cv_kpmg_genai-backend-engineer.pdf,draft,2026-06-01,
jeen-ai,ai-automation-engineer,,outputs/jeen-ai/cv-pdf/cv_jeen-ai_ai-automation-engineer.pdf,draft,2026-06-01,
verix,junior-ps-data-engineer,,outputs/verix/cv-pdf/cv_verix_junior-ps-data-engineer.pdf,draft,2026-06-01,
colors,full-stack-engineer,,outputs/colors/cv-pdf/cv_colors_full-stack-engineer.pdf,draft,2026-06-01,
helfy,junior-ai-full-stack-developer,,outputs/helfy/cv-pdf/cv_helfy_junior-ai-full-stack-developer.pdf,draft,2026-06-02,
unframe,full-stack-software-engineer,,outputs/unframe/cv-pdf/cv_unframe_full-stack-software-engineer.pdf,draft,2026-06-03,
finonex,full-stack-engineer,,outputs/finonex/cv-pdf/cv_finonex_full-stack-engineer.pdf,draft,2026-06-22,Trading-platform co; JD wants 5+ yrs full-stack & 4+ yrs Node/React
sourcix,full-stack-developer,,outputs/sourcix/cv-pdf/cv_sourcix_full-stack-developer.pdf,draft,2026-07-29,
moveo,full-stack-ai-developer,,outputs/moveo/cv-pdf/cv_moveo_full-stack-ai-developer.pdf,draft,2026-07-29,
medulla,senior-fullstack-developer,https://www.linkedin.com/company/medulla-/life/,outputs/medulla/cv-pdf/cv_medulla_senior-fullstack-developer.pdf,draft,2026-07-29,Strong React and end-to-end fit; 5-year seniority requirement remains a gap
kpmg,ai-backend-engineer,,outputs/kpmg/cv-pdf/cv_kpmg_ai-backend-engineer.pdf,draft,2026-08-02,Second KPMG draft (tone C); earlier genai-backend-engineer draft from 2026-06-01 still exists, unsent — pick one
